Data de Cadastro,ID,SubProduto,Produto Vinculado,Categoria,Fornecedor,Tamanho,UN,Fator,NCM,CST,CFOP,Status
15/06/2025 16:06:54,326,Chocolate em Po 100% Cacau (Alcalino),Chocolate em Po 100% Cacau (Alcalino),Confeitaria,MixPan,1kg,Un,1,,,,
15/06/2025 16:06:54,327,Chocolate em Po 100% Cacau (Alcalino),Chocolate em Po 100% Cacau (Alcalino),Confeitaria,Riberfoods,500gr,UN,"0,5",,,,
15/06/2025 16:06:54,328,Chocolate em Po 100% Cacau (Alcalino),Chocolate em Po 100% Cacau (Alcalino),Confeitaria,Sorpan,25kg,Un,25,,,,
15/06/2025 16:06:54,330,Chocolate Em Po 33%Cacau *Harald*,Chocolate Em Po 33%Cacau *Harald*,Confeitaria,Cecotti,"1,05kg (cx c 10)",UN,"1,05",,,,
15/06/2025 16:06:54,331,Chocolate Em Po 33%Cacau *Harald*,Chocolate Em Po 33%Cacau *Harald*,Confeitaria,Coppa,"1,05kg",UN,"1,05",,,,
15/06/2025 16:06:54,332,Chocolate Em Po 33%Cacau *Harald*,Chocolate Em Po 33%Cacau *Harald*,Confeitaria,Harald,"10x1,05KG",UN,"1,05",,,,
15/06/2025 16:06:54,333,Chocolate Em Po 33%Cacau *Harald*,Chocolate Em Po 33%Cacau *Harald*,Confeitaria,MixPan,1kg,Un,"1,05",,,,
15/06/2025 16:06:54,334,Chocolate Em Po 33%Cacau *Harald*,Chocolate Em Po 33%Cacau *Harald*,Confeitaria,Riberfoods,"1,05kg",UN,"1,05",,,,
15/06/2025 16:06:54,335,Chocolate Em Po 33%Cacau *Harald*,Chocolate Em Po 33%Cacau *Harald*,Confeitaria,Sorpan,"1,05kg",UN,"1,05",,,,
15/06/2025 16:06:54,337,Chocolate Em Pó 50% Cacau *Harald*,Chocolate Em Pó 50% Cacau *Harald*,Confeitaria,Cecotti,"1,05kg",UN,"1,05",,,,
15/06/2025 16:06:54,338,Chocolate Em Pó 50% Cacau *Harald*,Chocolate Em Pó 50% Cacau *Harald*,Confeitaria,Coppa,"1,05kg",UN,1,,,,
15/06/2025 16:06:54,339,Chocolate Em Pó 50% Cacau *Harald*,Chocolate Em Pó 50% Cacau *Harald*,Confeitaria,Harald,"10x1,05KG",UN,"1,05",,,,
15/06/2025 16:06:54,340,Chocolate Em Pó 50% Cacau *Harald*,Chocolate Em Pó 50% Cacau *Harald*,Confeitaria,MixPan,1kg,UN,1,,,,
15/06/2025 16:06:54,341,Chocolate Em Pó 50% Cacau *Harald*,Chocolate Em Pó 50% Cacau *Harald*,Confeitaria,Riberfoods,"1,05kg",UN,01.05,,,,
15/06/2025 16:06:54,342,Chocolate Em Pó 50% Cacau *Harald*,Chocolate Em Pó 50% Cacau *Harald*,Confeitaria,Sorpan,"1,05KG",UN,01.05,,,,
15/06/2025 16:06:54,344,Chocolate Granulado Crocante *Harald*,Chocolate Granulado Crocante *Harald*,Confeitaria,Cecotti,1kg,UN,1,,,,
15/06/2025 16:06:54,345,Chocolate Granulado Crocante *Harald*,Chocolate Granulado Crocante *Harald*,Confeitaria,Coppa,2Kg,UN,1,,,,
15/06/2025 16:06:54,346,Chocolate Granulado Crocante *Harald*,Chocolate Granulado Crocante *Harald*,Confeitaria,Harald,5X2Kg,UN,10,,,,
15/06/2025 16:06:54,347,Chocolate Granulado Crocante *MAVALERIO*,Chocolate Granulado Crocante *Harald*,Confeitaria,MixPan,1kg,UN,1,,,,
15/06/2025 16:06:54,348,Chocolate Granulado Crocante *Harald*,Chocolate Granulado Crocante *Harald*,Confeitaria,Riberfoods,1kg,UN,"2,05",,,,
15/06/2025 16:06:54,349,Chocolate Granulado Crocante *Harald*,Chocolate Granulado Crocante *Harald*,Confeitaria,Sorpan,1KG,UN,1,,,,
15/06/2025 16:06:54,351,Chocolate Granulado Em Escamas *Harald*,Chocolate Granulado Em Escamas *Harald*,Confeitaria,Cecotti,400gr,UN,"0,4",,,,
15/06/2025 16:06:54,352,Chocolate Granulado Em Escamas *Harald*,Chocolate Granulado Em Escamas *Harald*,Confeitaria,Coppa,400gr,UN,0.4,,,,
15/06/2025 16:06:54,353,Chocolate Granulado Em Escamas *Harald*,Chocolate Granulado Em Escamas *Harald*,Confeitaria,Harald,12x400gr,UN,"4,8",,,,
15/06/2025 16:06:54,354,Chocolate Granulado Em Escamas *Harald*,Chocolate Granulado Em Escamas *Harald*,Confeitaria,Riberfoods,400gr,UN,"0,5",,,,
